Soap Pants;[5]
Keyboard Towels;[3,3,0,3,2,5,2,2,3,4]
Chips Salad;[4,0,5,5,4,2,3,0,0,3,3,4,3,3,1,2]
Car Soap;[4,0,3,3,3,2,5,0,5,1,3,5]
Chair Fish;[5,0,4,0,4,0,1,1,3,0,1,5,1,2,5,1,4,0,1]
Mouse Soap;[1,4,5,1,2,1,1,2,4,4,3,2,4,4,5,3,5,1]
Keyboard Fish;[4,5,3,1,5,0,1,0,4,1,1,0,1,3,3,0,5,4,4,4]
Salad Salad;[4,5]
Table Towels;[5,4,1,1,0,2,1,0,5]
Bacon Sausages;[1,5,1,5,0,3,1,5,1]
Hat Chips;[2,4]
Gloves Fish;[5,2,5,4,0,1,4,3,3,5,1,3,3,2,5,4,5,2,1]
Shoes Bike;[1,4,0,4,2,2,5,1,3,5,4,0,1,3,2,3,1,3,4]
Fish Soap;[1]
Fish Fish;[2,5,2,5,2,3,2,1,2,4,4,0,5,1,2,2,1,3,1,1]
Bike Bike;[1,1,2,2,1,4,5,0,1,1,1,0,5,1,1,1,1,3,0]
Fish Bike;[3,3,4,4,1,4,0,2,2,0,5]
Shirt Keyboard;[4,3,1,2,1,4,5,4]
Fish Pizza;[5,5]
Chips Computer;[0,0,5,1,3,0,5,5,3]
